State,Quarter,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other,Unknown
Wyoming,April-June 2023,17.2,10.9,,,2.3,2.5
Other States,April-June 2023,10.3,3.5,3.9,2.0,0.5,(Z)
United States,April-June 2023,52.0,14.3,6.6,10.5,13.8,6.1
Alabama,July-September 2023,67.5,35.3,4.1,1.1,4.4,6.4
Arizona,July-September 2023,26.3,(Z),2.7,3.8,18.1,0.7
Arkansas,July-September 2023,38.6,16.7,3.1,24.3,5.0,4.2
California,July-September 2023,22.1,2.6,2.3,3.7,4.4,2.3
Colorado,July-September 2023,45.1,(Z),3.1,12.6,12.9,(Z)
Connecticut,July-September 2023,11.0,(Z),0.1,(Z),0.7,(Z)
Florida,July-September 2023,28.0,16.6,7.2,8.3,10.1,10.1
Georgia,July-September 2023,34.4,16.0,1.0,6.4,9.7,11.1
Idaho,July-September 2023,18.3,3.1,4.4,1.7,1.8,1.7
Illinois,July-September 2023,35.9,12.2,1.2,5.0,2.6,4.7
Indiana,July-September 2023,40.9,12.1,1.8,8.7,1.8,0.5
Iowa,July-September 2023,24.4,0.7,(Z),14.6,2.0,14.4
Kansas,July-September 2023,70.8,23.6,0.7,20.3,5.1,1.0
Kentucky,July-September 2023,35.4,9.6,2.1,7.2,5.0,3.3
Louisiana,July-September 2023,29.4,20.5,(Z),,5.6,2.0
Maine,July-September 2023,17.3,(Z),,,(Z),
Maryland,July-September 2023,32.9,13.4,,4.1,4.1,1.6
Massachusetts,July-September 2023,17.4,3.3,1.8,,0.7,0.7
Michigan,July-September 2023,29.0,1.6,0.8,1.7,0.6,3.7
Minnesota,July-September 2023,29.9,2.5,3.4,12.7,3.3,4.2
Mississippi,July-September 2023,34.9,2.9,(Z),1.3,12.0,1.3
Missouri,July-September 2023,17.5,3.9,(Z),0.8,8.9,2.0
Montana,July-September 2023,32.4,(Z),2.8,1.1,21.1,(Z)
Nebraska,July-September 2023,19.7,(Z),,2.0,1.2,4.2
New Jersey,July-September 2023,14.1,2.2,(Z),,0.7,1.1
New Mexico,July-September 2023,23.0,1.5,(Z),(Z),,0.7
New York,July-September 2023,24.7,11.9,3.9,6.0,4.6,6.3
North Carolina,July-September 2023,29.9,6.6,2.8,0.6,2.4,2.2
North Dakota,July-September 2023,41.1,7.1,3.0,12.4,3.5,(Z)
Ohio,July-September 2023,38.5,7.1,0.6,5.7,4.4,1.8
Oklahoma,July-September 2023,12.0,,(Z),,1.8,
Oregon,July-September 2023,64.0,21.2,26.6,24.2,26.4,1.2
Pennsylvania,July-September 2023,19.6,4.0,1.4,2.7,1.3,1.6
South Carolina,July-September 2023,53.3,24.6,(Z),3.4,13.6,1.4
South Dakota,July-September 2023,26.3,4.0,3.1,8.0,8.1,0.9
Tennessee,July-September 2023,15.1,3.0,(Z),1.7,1.6,2.8
Texas,July-September 2023,4.5,0.7,,1.0,3.9,0.7
Utah,July-September 2023,67.5,26.5,25.1,29.5,1.0,1.2
Vermont,July-September 2023,25.9,15.1,(Z),,2.0,0.9
Virginia,July-September 2023,33.5,14.1,(Z),(Z),2.9,2.0
Washington,July-September 2023,12.0,1.9,1.4,4.7,(Z),0.9
West Virginia,July-September 2023,20.7,6.3,,1.2,1.7,
Wisconsin,July-September 2023,54.9,1.2,0.9,7.4,0.8,2.2
Wyoming,July-September 2023,10.1,1.3,0.7,0.7,1.1,1.9
Other States,July-September 2023,30.7,21.8,(Z),,6.5,(Z)
United States,July-September 2023,32.5,7.6,4.0,7.7,6.8,3.5
Alabama,October-December 2023,72.0,62.4,8.2,2.1,14.5,5.1
Arizona,October-December 2023,24.8,,,0.7,1.0,16.9
Arkansas,October-December 2023,60.8,9.6,8.5,8.3,0.6,2.6
California,October-December 2023,33.7,3.8,3.4,2.4,3.2,2.9
Colorado,October-December 2023,11.4,,,,0.7,5.3
Connecticut,October-December 2023,5.0,(Z),,,3.6,1.5
Florida,October-December 2023,38.7,14.9,4.1,30.3,17.4,14.1
Georgia,October-December 2023,42.0,15.8,3.2,2.9,18.8,10.1
Idaho,October-December 2023,55.3,1.0,10.2,8.3,0.8,1.2
Illinois,October-December 2023,32.3,15.8,0.5,5.8,2.8,4.7
Indiana,October-December 2023,47.5,32.8,5.8,8.4,2.0,(Z)
Iowa,October-December 2023,19.1,12.1,(Z),12.1,0.9,(Z)
Kansas,October-December 2023,63.6,51.4,,43.2,41.5,41.3
Kentucky,October-December 2023,28.7,10.9,,11.8,4.7,3.2
Louisiana,October-December 2023,10.1,1.1,,1.1,1.7,1.4
Maine,October-December 2023,23.3,3.8,0.1,,0.5,2.8
Maryland,October-December 2023,33.8,19.0,,,(Z),3.1
Massachusetts,October-December 2023,8.8,0.6,4.6,(Z),0.5,(Z)
Michigan,October-December 2023,13.3,2.2,3.1,2.3,9.2,2.3
Minnesota,October-December 2023,25.9,3.0,0.5,9.2,0.8,3.6
Mississippi,October-December 2023,16.0,0.6,,0.8,12.9,3.1
Missouri,October-December 2023,41.2,9.7,(Z),(Z),4.7,2.5
Montana,October-December 2023,22.5,0.5,2.8,6.9,1.9,0.8
Nebraska,October-December 2023,15.6,(Z),0.5,0.6,7.9,1.6
New Jersey,October-December 2023,12.5,2.8,(Z),2.4,(Z),1.2
New Mexico,October-December 2023,24.6,3.4,4.1,2.2,13.6,3.8
New York,October-December 2023,35.1,18.5,2.9,4.5,15.8,5.2
North Carolina,October-December 2023,37.0,6.5,(Z),(Z),0.9,1.5
North Dakota,October-December 2023,40.4,1.6,0.8,4.1,6.5,
Ohio,October-December 2023,34.4,14.3,1.5,2.5,2.1,16.4
Oklahoma,October-December 2023,2.5,,,,(Z),(Z)
Oregon,October-December 2023,51.1,2.5,3.0,0.5,0.7,1.4
Pennsylvania,October-December 2023,30.1,10.4,(Z),8.8,1.1,3.0
South Carolina,October-December 2023,48.9,8.0,9.5,16.3,5.9,10.2
South Dakota,October-December 2023,52.7,48.5,2.0,15.0,17.7,
Tennessee,October-December 2023,10.1,5.0,(Z),2.1,1.1,1.8
Texas,October-December 2023,36.1,12.3,,23.2,16.2,9.5
Utah,October-December 2023,43.3,15.0,15.6,5.2,15.7,2.4
Vermont,October-December 2023,11.5,4.7,0.6,0.8,(Z),1.4
Virginia,October-December 2023,42.5,21.6,2.8,(Z),4.9,3.8
Washington,October-December 2023,46.5,1.2,6.9,0.9,8.9,24.2
West Virginia,October-December 2023,15.0,4.0,(Z),1.1,1.6,1.2
Wisconsin,October-December 2023,28.6,5.2,5.2,6.1,0.6,2.5
Wyoming,October-December 2023,13.2,0.1,,2.0,1.5,1.6
Other States,October-December 2023,49.7,40.4,12.7,2.8,3.6,2.2
United States,October-December 2023,46.5,11.1,4.1,10.2,9.3,5.9
